total_daily_units,month,monthly_units,monthly_bill
8.26,3,247.8,1365.78
4.38,12,131.4,593.22
11.96,7,358.8,2282.3
8.78,7,263.4,1489.7
3.03,12,90.9,408.83
7.8,2,234,1260.9
6.56,8,196.8,982.02
5.81,6,174.3,838.02
7.15,9,214.5,1112.7
2.96,3,88.8,401.06
7.27,2,218.1,1140.06
8.41,8,252.3,1400.9
6.77,9,203.1,1026.06
2.81,9,84.3,384.41
10.12,11,303.6,1813.1
7.98,6,239.4,1301.94
1.51,6,45.3,242.69
4.56,10,136.8,619.14
8.13,8,243.9,1336.14
9.43,9,282.9,1645.7
8.08,7,242.4,1324.74
6.81,8,204.3,1035.18
10.42,10,312.6,1889.6
6.15,12,184.5,903.3
3.32,1,99.6,441.02
4.6,3,138,624.9
6.07,10,182.1,887.94
4.52,11,135.6,613.38
2.66,8,79.8,367.76
3.52,2,105.6,469.38
3.09,7,92.7,415.49
10.25,2,307.5,1846.25
7.15,4,214.5,1112.7
4.73,9,141.9,643.62
7.55,11,226.5,1203.9
6.15,1,184.5,903.3
4.94,8,148.2,673.86
5.72,4,171.6,820.74
2.97,4,89.1,402.17
9.4,3,282,1638.5
11.43,11,342.9,2147.15
4.19,9,125.7,565.86
1.91,11,57.3,284.51
3.2,5,96,427.7
11.72,12,351.6,2221.1
2.61,10,78.3,362.21
4.72,1,141.6,642.18
1.89,10,56.7,282.29
4.65,6,139.5,632.1
12.34,8,370.2,2379.2
9.79,4,293.7,1732.1
14.1,5,423,2828
9.22,3,276.6,1595.3
8.62,9,258.6,1451.3
3.29,6,98.7,437.69
6.26,7,187.8,924.42
5.16,3,154.8,713.22
16.03,4,480.9,3320.15
9.5,8,285,1662.5
4.32,11,129.6,584.58
5.72,12,171.6,820.74
14.89,4,446.7,3029.45
2.82,1,84.6,385.52
4.14,7,124.2,558.66
3.11,10,93.3,417.71
2.15,10,64.5,311.15
8.51,3,255.3,1424.9
13.68,4,410.4,2720.9
